Rooms,Type,Price,Distance,Bathroom,Car,Region,LogPrice
3.0,h,1290000.0,2.5,1.0,1.0,Northern Metropolitan,14.070152776337855
1.0,u,470000.0,2.5,1.0,1.0,Northern Metropolitan,13.060487973686241
2.0,h,1180000.0,2.5,1.0,0.0,Northern Metropolitan,13.981024996441848
3.0,h,1195000.0,2.5,2.0,1.0,Northern Metropolitan,13.993656743347747
2.0,h,1012500.0,2.5,1.0,0.0,Northern Metropolitan,13.82793307796283
2.0,h,1030000.0,2.5,1.0,1.0,Northern Metropolitan,13.845069360205818
3.0,t,840000.0,13.5,2.0,1.0,Western Metropolitan,13.641157170819497
3.0,h,730000.0,13.5,2.0,1.0,Western Metropolitan,13.500799813124575
3.0,h,770000.0,13.5,2.0,1.0,Western Metropolitan,13.554145793829866
2.0,h,603000.0,13.5,1.0,1.0,Western Metropolitan,13.309672475709322
3.0,t,700000.0,13.5,2.0,2.0,Western Metropolitan,13.458835614025542
3.0,h,600000.0,13.5,1.0,1.0,Western Metropolitan,13.304684934198283
2.0,u,500000.0,13.5,1.0,1.0,Western Metropolitan,13.122363377404328
3.0,h,720000.0,13.5,1.0,1.0,Western Metropolitan,13.487006490992238
4.0,h,785000.0,13.5,1.0,2.0,Western Metropolitan,13.573438996764546
6.0,h,725000.0,13.5,3.0,2.0,Western Metropolitan,13.493926933836812
2.0,t,450000.0,13.5,1.0,1.0,Western Metropolitan,13.017002861746503
2.0,u,515000.0,13.5,1.0,1.0,Western Metropolitan,13.151922179645874
2.0,u,530000.0,13.5,1.0,1.0,Western Metropolitan,13.180632285528304
3.0,h,895000.0,13.5,1.0,6.0,Western Metropolitan,13.704578997256993
3.0,h,805000.0,13.5,1.0,1.0,Western Metropolitan,13.5985975564007
3.0,u,752000.0,13.5,1.0,1.0,Western Metropolitan,13.530491602931978
2.0,u,440000.0,13.5,1.0,1.0,Western Metropolitan,12.994530005894443
5.0,h,755000.0,13.5,2.0,2.0,Western Metropolitan,13.534473028231162
3.0,t,700000.0,13.5,2.0,2.0,Western Metropolitan,13.458835614025542
3.0,h,830000.0,13.5,1.0,2.0,Western Metropolitan,13.62918097977278
2.0,u,462500.0,13.5,1.0,1.0,Western Metropolitan,13.044401835934616
3.0,h,670000.0,13.5,2.0,2.0,Western Metropolitan,13.415032991367148
2.0,h,675000.0,13.5,1.0,1.0,Western Metropolitan,13.422467969854667
3.0,h,1042000.0,13.5,2.0,5.0,Western Metropolitan,13.85665250129545
3.0,h,910000.0,13.5,1.0,1.0,Western Metropolitan,13.721199878493033
4.0,h,773000.0,13.5,3.0,4.0,Western Metropolitan,13.558034327569558
3.0,h,810000.0,13.5,3.0,2.0,Western Metropolitan,13.604789526648622
3.0,h,715000.0,13.5,2.0,2.0,Western Metropolitan,13.480037821676145
3.0,h,790000.0,13.5,1.0,3.0,Western Metropolitan,13.579788224443204
3.0,t,540000.0,13.5,2.0,1.0,Western Metropolitan,13.199324418540456
3.0,t,825000.0,13.5,2.0,1.0,Western Metropolitan,13.623138665316818
3.0,h,685000.0,13.5,1.0,1.0,Western Metropolitan,13.437174117244362
3.0,h,805000.0,13.5,1.0,1.0,Western Metropolitan,13.5985975564007
2.0,u,510000.0,13.5,1.0,1.0,Western Metropolitan,13.142166004700508
3.0,h,612000.0,13.5,2.0,1.0,Western Metropolitan,13.324487561494463
3.0,h,662000.0,13.5,1.0,2.0,Western Metropolitan,13.403020834919145
4.0,h,978000.0,13.5,3.0,2.0,Western Metropolitan,13.793264949016955
3.0,h,720000.0,13.5,1.0,1.0,Western Metropolitan,13.487006490992238
4.0,h,765000.0,13.5,1.0,2.0,Western Metropolitan,13.547631112808673
4.0,h,900000.0,13.5,2.0,3.0,Western Metropolitan,13.710150042306449
2.0,h,1275000.0,3.3,1.0,0.0,Southern Metropolitan,14.058456736574664
2.0,h,1455000.0,3.3,1.0,0.0,Southern Metropolitan,14.19051645858773
3.0,h,2372500.0,3.3,2.0,0.0,Southern Metropolitan,14.862829552244833
3.0,h,1850000.0,3.3,2.0,0.0,Southern Metropolitan,14.430696197054507
2.0,h,1436000.0,3.3,1.0,0.0,Southern Metropolitan,14.177372028590307
2.0,h,1110000.0,3.3,1.0,0.0,Southern Metropolitan,13.919870573288517
2.0,h,1550000.0,3.3,1.0,1.0,Southern Metropolitan,14.253765488895429
4.0,h,2300000.0,3.3,2.0,1.0,Southern Metropolitan,14.648419680899378
3.0,t,1550000.0,3.3,2.0,2.0,Southern Metropolitan,14.253765488895429
3.0,h,1800000.0,3.3,2.0,1.0,Southern Metropolitan,14.403297222866392
2.0,h,2120000.0,3.3,1.0,1.0,Southern Metropolitan,14.566926646648195
3.0,h,1800000.0,3.3,1.0,1.0,Southern Metropolitan,14.403297222866392
3.0,h,1800000.0,3.3,2.0,1.0,Southern Metropolitan,14.403297222866392
2.0,h,1810000.0,3.3,1.0,0.0,Southern Metropolitan,14.408837403242009
3.0,h,2372500.0,3.3,2.0,1.0,Southern Metropolitan,14.77677465548116
5.0,h,2100000.0,3.3,2.0,1.0,Southern Metropolitan,14.557447902693651
3.0,h,1300000.0,3.3,1.0,0.0,Southern Metropolitan,14.077874822431765
3.0,h,1370000.0,3.3,2.0,2.0,Southern Metropolitan,14.130321297804308
2.0,h,1000000.0,3.3,1.0,0.0,Southern Metropolitan,13.815510557964274
3.0,h,2372500.0,3.3,2.0,1.0,Southern Metropolitan,14.761360092079974
2.0,h,1322500.0,3.3,1.0,0.0,Southern Metropolitan,14.095034442714592
2.0,h,1562500.0,3.3,1.0,0.0,Southern Metropolitan,14.261797660592693
3.0,h,2000000.0,3.3,2.0,1.0,Southern Metropolitan,14.508657738524219
3.0,h,1900000.0,3.3,1.0,0.0,Southern Metropolitan,14.457364444136669
3.0,h,2372500.0,3.3,2.0,0.0,Southern Metropolitan,14.917450636725059
4.0,h,2372500.0,3.3,3.0,1.0,Southern Metropolitan,14.845129975145433
2.0,u,647000.0,3.3,1.0,1.0,Southern Metropolitan,13.380101573483037
3.0,h,2100000.0,3.3,1.0,1.0,Southern Metropolitan,14.557447902693651
3.0,h,2000000.0,3.3,1.0,1.0,Southern Metropolitan,14.508657738524219
1.0,u,442500.0,3.3,1.0,0.0,Southern Metropolitan,13.00019574343012
4.0,h,2372500.0,3.3,2.0,1.0,Southern Metropolitan,15.370492284602316
2.0,h,1340000.0,3.3,1.0,0.0,Southern Metropolitan,14.108180171927094
3.0,h,1801000.0,3.3,1.0,1.0,Southern Metropolitan,14.403852624158093
3.0,h,1532000.0,3.3,3.0,1.0,Southern Metropolitan,14.242084629282674
3.0,h,2372500.0,3.3,2.0,2.0,Southern Metropolitan,15.138598843180372
4.0,h,2140000.0,3.3,2.0,1.0,Southern Metropolitan,14.576316386998034
2.0,h,1750000.0,3.3,1.0,1.0,Southern Metropolitan,14.375126345899696
2.0,h,980000.0,3.3,1.0,0.0,Southern Metropolitan,13.795307850646754
3.0,h,2030000.0,3.3,2.0,0.0,Southern Metropolitan,14.52354635101797
3.0,h,1740000.0,3.3,2.0,2.0,Southern Metropolitan,14.369395671190711
3.0,h,2372500.0,3.3,3.0,1.0,Southern Metropolitan,14.845129975145433
1.0,h,985000.0,3.3,1.0,0.0,Southern Metropolitan,13.800396920154226
4.0,h,2000000.0,6.4,2.0,4.0,Northern Metropolitan,14.508657738524219
3.0,h,1110000.0,6.4,2.0,2.0,Northern Metropolitan,13.919870573288517
3.0,h,1492000.0,6.4,2.0,2.0,Northern Metropolitan,14.215628059745843
4.0,h,1717500.0,6.4,2.0,1.0,Northern Metropolitan,14.356380303078641
5.0,h,2372500.0,6.4,3.5,4.0,Northern Metropolitan,14.859314610137389
2.0,u,525500.0,6.4,1.0,1.0,Northern Metropolitan,13.172105469299144
2.0,t,805000.0,6.4,2.0,3.0,Northern Metropolitan,13.5985975564007
2.0,u,465000.0,6.4,1.0,1.0,Northern Metropolitan,13.049792684569493
3.0,h,2000000.0,6.4,3.0,2.0,Northern Metropolitan,14.508657738524219
3.0,h,1540000.0,6.4,1.0,2.0,Northern Metropolitan,14.247292974389811
2.0,u,820000.0,6.4,1.0,1.0,Northern Metropolitan,13.617059619240436
4.0,h,1830000.0,6.4,2.0,2.0,Northern Metropolitan,14.419826524817603
4.0,h,2100000.0,6.4,2.0,2.0,Northern Metropolitan,14.557447902693651
3.0,h,865000.0,6.4,1.0,1.0,Northern Metropolitan,13.670484785914017
2.0,u,390000.0,6.4,1.0,1.0,Northern Metropolitan,12.873902018105829
2.0,t,650000.0,6.4,1.0,0.0,Northern Metropolitan,13.38472764187182
2.0,u,512000.0,6.4,1.0,1.0,Northern Metropolitan,13.146079904021645
3.0,h,1165000.0,6.4,1.0,2.0,Northern Metropolitan,13.968231644981937
4.0,h,1900000.0,6.4,2.0,2.0,Northern Metropolitan,14.457364444136669
3.0,h,1485000.0,6.4,0.0,0.0,Northern Metropolitan,14.210925330218936
4.0,h,1950000.0,6.4,2.0,3.0,Northern Metropolitan,14.48333993053993
3.0,h,520000.0,13.8,2.0,1.0,Western Metropolitan,13.16158409055761
5.0,h,1525000.0,13.8,3.0,3.0,Western Metropolitan,14.237504968023648
2.0,t,720000.0,13.8,1.0,2.0,Western Metropolitan,13.487006490992238
3.0,h,1120000.0,13.8,1.0,2.0,Western Metropolitan,13.928839243271277
4.0,h,780000.0,13.8,1.0,4.0,Western Metropolitan,13.567049198665774
4.0,h,1780000.0,13.8,3.0,6.0,Western Metropolitan,14.392123922268269
3.0,u,630000.0,13.8,1.0,2.0,Western Metropolitan,13.353475098367715
2.0,u,406000.0,13.8,1.0,1.0,Western Metropolitan,12.91410843858387
3.0,h,660000.0,13.8,1.0,1.0,Western Metropolitan,13.399995114002609
3.0,h,683500.0,13.8,1.0,1.0,Western Metropolitan,13.43498193514614
2.0,u,580000.0,13.8,1.0,1.0,Western Metropolitan,13.270783382522602
3.0,h,1335000.0,13.8,1.0,4.0,Western Metropolitan,14.104441849816487
3.0,t,800000.0,13.8,2.0,2.0,Western Metropolitan,13.592367006650065
2.0,u,510000.0,13.8,1.0,1.0,Western Metropolitan,13.142166004700508
4.0,h,1070000.0,13.8,2.0,2.0,Western Metropolitan,13.883169206438088
2.0,u,425000.0,13.8,1.0,2.0,Western Metropolitan,12.959844447906553
3.0,u,605000.0,13.8,2.0,2.0,Western Metropolitan,13.312983737012978
3.0,t,705000.0,13.8,2.0,2.0,Western Metropolitan,13.465953081794405
2.0,u,391000.0,13.8,1.0,1.0,Western Metropolitan,12.876462838967504
2.0,u,440000.0,13.8,1.0,1.0,Western Metropolitan,12.994530005894443
4.0,h,845000.0,13.8,1.0,2.0,Western Metropolitan,13.64709190633931
3.0,t,743000.0,13.8,2.0,2.0,Western Metropolitan,13.518451323699896
3.0,u,730000.0,13.8,2.0,1.0,Western Metropolitan,13.500799813124575
3.0,h,635000.0,13.8,1.0,4.0,Western Metropolitan,13.36138027787483
2.0,u,620000.0,13.8,1.0,1.0,Western Metropolitan,13.337474757021274
2.0,u,447000.0,13.8,1.0,1.0,Western Metropolitan,13.010313873595706
3.0,u,730000.0,13.8,2.0,1.0,Western Metropolitan,13.500799813124575
3.0,h,678000.0,13.8,1.0,2.0,Western Metropolitan,13.426902566922532
2.0,u,580000.0,13.8,2.0,1.0,Western Metropolitan,13.270783382522602
3.0,h,712000.0,13.8,1.0,2.0,Western Metropolitan,13.475833190394113
3.0,h,840000.0,13.8,2.0,2.0,Western Metropolitan,13.641157170819497
3.0,h,980000.0,13.8,1.0,2.0,Western Metropolitan,13.795307850646754
3.0,t,605100.0,13.8,2.0,0.0,Western Metropolitan,13.313149012610413
3.0,h,880000.0,13.8,3.0,1.0,Western Metropolitan,13.687677186454389
3.0,u,577000.0,13.8,2.0,1.0,Western Metropolitan,13.265597545490236
4.0,h,1030000.0,13.8,1.0,0.0,Western Metropolitan,13.845069360205818
3.0,u,605000.0,13.8,1.0,2.0,Western Metropolitan,13.312983737012978
3.0,h,753000.0,13.8,2.0,2.0,Western Metropolitan,13.531820506782031
2.0,h,857000.0,13.8,2.0,1.0,Western Metropolitan,13.661193197579918
3.0,h,1500000.0,13.8,1.0,1.0,Western Metropolitan,14.22097566607244
3.0,u,730000.0,13.8,2.0,1.0,Western Metropolitan,13.500799813124575
3.0,h,900000.0,13.8,1.0,4.0,Western Metropolitan,13.710150042306449
3.0,h,740000.0,13.8,1.0,2.0,Western Metropolitan,13.514405465180353
4.0,h,931000.0,13.8,2.0,3.0,Western Metropolitan,13.744014556259204
2.0,h,535600.0,13.8,1.0,1.0,Western Metropolitan,13.191142892799155
5.0,h,1085000.0,11.1,3.0,6.0,Western Metropolitan,13.897090544956697
3.0,h,781000.0,11.1,1.0,2.0,Western Metropolitan,13.568330428821824
3.0,h,750000.0,11.1,1.0,3.0,Western Metropolitan,13.527828485512494
2.0,t,421000.0,11.1,1.0,1.0,Western Metropolitan,12.950388112664518
3.0,h,1405000.0,11.1,1.0,3.0,Western Metropolitan,14.155547860749984
3.0,h,683000.0,11.1,1.0,2.0,Western Metropolitan,13.434250138552928
3.0,h,623000.0,11.1,1.0,3.0,Western Metropolitan,13.34230179776959
3.0,h,720000.0,11.1,2.0,1.0,Western Metropolitan,13.487006490992238
3.0,h,588000.0,11.1,1.0,1.0,Western Metropolitan,13.284482226880764
3.0,h,710000.0,11.1,1.0,3.0,Western Metropolitan,13.473020249017498
4.0,h,875000.0,11.1,1.0,4.0,Western Metropolitan,13.681979165339751
3.0,h,700000.0,11.1,1.0,3.0,Western Metropolitan,13.458835614025542
2.0,t,640000.0,11.1,1.0,1.0,Western Metropolitan,13.369223455335854
4.0,h,650000.0,11.1,1.0,4.0,Western Metropolitan,13.38472764187182
3.0,h,675000.0,11.1,2.0,2.0,Western Metropolitan,13.422467969854667
3.0,h,708000.0,11.1,1.0,2.0,Western Metropolitan,13.470199372675857
4.0,h,965000.0,11.1,1.0,4.0,Western Metropolitan,13.779883380321124
3.0,h,680000.0,11.1,1.0,3.0,Western Metropolitan,13.42984807715229
3.0,h,770000.0,11.1,1.0,3.0,Western Metropolitan,13.554145793829866
3.0,h,923000.0,11.1,1.0,2.0,Western Metropolitan,13.73538451348499
4.0,h,693000.0,11.1,2.0,4.0,Western Metropolitan,13.448785278172041
3.0,h,620000.0,11.1,2.0,2.0,Western Metropolitan,13.337474757021274
3.0,h,728500.0,11.1,1.0,1.0,Western Metropolitan,13.498742904617396
3.0,h,931000.0,11.1,2.0,1.0,Western Metropolitan,13.744014556259204
3.0,h,988000.0,11.1,1.0,4.0,Western Metropolitan,13.803437976730004
3.0,h,590000.0,11.1,1.0,2.0,Western Metropolitan,13.287877815881902
2.0,h,610000.0,11.1,1.0,2.0,Western Metropolitan,13.321214236149494
3.0,h,815000.0,11.1,2.0,3.0,Western Metropolitan,13.610943392223
4.0,h,970000.0,11.1,1.0,2.0,Western Metropolitan,13.785051350479566
4.0,h,760000.0,11.1,1.0,3.0,Western Metropolitan,13.541073712262515
4.0,t,847500.0,11.1,3.0,1.0,Western Metropolitan,13.650046118236743
4.0,h,1200000.0,11.1,1.0,4.0,Western Metropolitan,13.997832114758229
3.0,h,700000.0,11.1,1.0,1.0,Western Metropolitan,13.458835614025542
3.0,h,625000.0,11.1,1.0,1.0,Western Metropolitan,13.345506928718539
2.0,u,292000.0,11.1,1.0,1.0,Western Metropolitan,12.584509081250419
2.0,u,599000.0,6.3,1.0,1.0,Southern Metropolitan,13.303016877097587
2.0,u,550000.0,6.3,1.0,0.0,Southern Metropolitan,13.217673557208654
3.0,u,995000.0,6.3,2.0,2.0,Southern Metropolitan,13.81049801614073
3.0,t,1205000.0,6.3,2.0,2.0,Southern Metropolitan,14.001990124906893
3.0,h,1939000.0,6.3,2.0,2.0,Southern Metropolitan,14.47768293422479
1.0,u,421500.0,6.3,1.0,0.0,Southern Metropolitan,12.951575056424048
3.0,h,1870000.0,6.3,1.0,1.0,Southern Metropolitan,14.44144898883077
2.0,u,678000.0,6.3,1.0,2.0,Southern Metropolitan,13.426902566922532
3.0,t,1918000.0,6.3,2.0,2.0,Southern Metropolitan,14.46679353442552
2.0,u,660000.0,6.3,1.0,1.0,Southern Metropolitan,13.399995114002609
3.0,h,2050000.0,6.3,2.0,1.0,Southern Metropolitan,14.53335035111459
2.0,u,700000.0,6.3,1.0,2.0,Southern Metropolitan,13.458835614025542
2.0,u,2372500.0,6.3,2.0,2.0,Southern Metropolitan,15.103364846270912
4.0,h,2372500.0,6.3,2.0,2.0,Southern Metropolitan,14.914122846632385
5.0,h,1525000.0,6.3,2.0,2.0,Southern Metropolitan,14.237504968023648
3.0,u,735000.0,6.3,2.0,1.0,Southern Metropolitan,13.507625778194974
2.0,u,825000.0,6.3,1.0,1.0,Southern Metropolitan,13.623138665316818
3.0,t,1586000.0,6.3,2.0,2.0,Southern Metropolitan,14.27672568117693
2.0,u,645000.0,6.3,1.0,1.0,Southern Metropolitan,13.37700559577791
1.0,h,1435000.0,6.3,2.0,1.0,Southern Metropolitan,14.176675407175859
1.0,u,280000.0,6.3,1.0,1.0,Southern Metropolitan,12.542544882151386
1.0,u,400000.0,6.3,1.0,1.0,Southern Metropolitan,12.89921982609012
2.0,h,1780000.0,6.3,2.0,2.0,Southern Metropolitan,14.392123922268269
2.0,u,592500.0,6.3,1.0,1.0,Southern Metropolitan,13.292106151991423
2.0,h,1210000.0,6.3,1.0,0.0,Southern Metropolitan,14.006130917572923
4.0,h,2372500.0,6.3,2.0,2.0,Southern Metropolitan,14.845487054242245
1.0,u,390000.0,6.3,1.0,0.0,Southern Metropolitan,12.873902018105829
3.0,h,1800000.0,6.3,2.0,2.0,Southern Metropolitan,14.403297222866392
4.0,h,2200000.0,6.3,1.0,2.0,Southern Metropolitan,14.603967918328545
1.0,u,324000.0,6.3,1.0,1.0,Southern Metropolitan,12.688498794774466
6.0,h,2372500.0,6.3,3.0,4.0,Southern Metropolitan,15.524793805368091
2.0,h,1125000.0,6.3,1.0,2.0,Southern Metropolitan,13.933293593620657
3.0,h,2250000.0,6.3,3.0,1.0,Southern Metropolitan,14.626440774180603
3.0,h,2360000.0,6.3,2.0,0.0,Southern Metropolitan,14.674172177001793
2.0,h,1900000.0,6.3,2.0,0.0,Southern Metropolitan,14.457364444136669
1.0,u,440000.0,6.3,1.0,1.0,Southern Metropolitan,12.994530005894443
2.0,u,490000.0,6.3,1.0,1.0,Southern Metropolitan,13.102160670086809
3.0,h,2365000.0,6.3,2.0,1.0,Southern Metropolitan,14.67628857990817
3.0,h,1300000.0,6.3,1.0,2.0,Southern Metropolitan,14.077874822431765
3.0,u,732000.0,6.3,2.0,2.0,Southern Metropolitan,13.503535792943449
2.0,u,704000.0,6.3,1.0,1.0,Southern Metropolitan,13.46453363514018
2.0,u,620000.0,6.3,1.0,1.0,Southern Metropolitan,13.337474757021274
3.0,h,1900000.0,6.3,1.0,2.0,Southern Metropolitan,14.457364444136669
1.0,u,315000.0,6.3,1.0,1.0,Southern Metropolitan,12.66032791780777
1.0,u,450000.0,6.3,1.0,1.0,Southern Metropolitan,13.017002861746503
2.0,u,710000.0,6.3,1.0,1.0,Southern Metropolitan,13.473020249017498
2.0,u,872000.0,6.3,1.0,1.0,Southern Metropolitan,13.678544702891116
2.0,u,598000.0,6.3,1.0,1.0,Southern Metropolitan,13.301346032932768
3.0,h,1285000.0,6.3,1.0,2.0,Southern Metropolitan,14.066269276311457
4.0,h,2372500.0,6.3,3.0,2.0,Southern Metropolitan,15.112973705377549
2.0,u,520000.0,6.3,1.0,1.0,Southern Metropolitan,13.16158409055761
4.0,h,2372500.0,6.3,1.0,2.0,Southern Metropolitan,15.103364846270912
4.0,h,2372500.0,6.3,3.0,3.0,Southern Metropolitan,15.250595083253597
3.0,t,1101000.0,6.3,1.0,2.0,Southern Metropolitan,13.911729415704817
3.0,h,2372500.0,6.3,2.0,2.0,Southern Metropolitan,15.071838592624138
4.0,h,2000000.0,6.3,3.0,4.0,Southern Metropolitan,14.508657738524219
3.0,u,869000.0,6.3,1.0,1.0,Southern Metropolitan,13.67509840424753
5.0,h,2372500.0,6.3,2.0,2.0,Southern Metropolitan,14.848695041309929
2.0,u,565000.0,6.3,1.0,1.0,Southern Metropolitan,13.244581010128577
1.0,u,567000.0,6.3,1.0,1.0,Southern Metropolitan,13.248114582709889
2.0,u,546000.0,6.3,0.0,0.0,Southern Metropolitan,13.210374254727043
2.0,u,471500.0,6.3,1.0,1.0,Southern Metropolitan,13.06367438105565
2.0,u,455000.0,5.9,1.0,2.0,Western Metropolitan,13.028052697933088
3.0,h,940000.0,5.9,1.0,2.0,Western Metropolitan,13.753635154246187
2.0,u,467000.0,5.9,1.0,1.0,Western Metropolitan,13.054084536651034
3.0,h,1380000.0,5.9,2.0,2.0,Western Metropolitan,14.137594057133388
2.0,u,490000.0,5.9,1.0,1.0,Western Metropolitan,13.102160670086809
4.0,h,1850000.0,5.9,3.0,1.0,Western Metropolitan,14.430696197054507
3.0,h,1284000.0,5.9,1.0,2.0,Western Metropolitan,14.065490763232043
3.0,h,971000.0,5.9,2.0,2.0,Western Metropolitan,13.786081747273462
2.0,h,710000.0,5.9,1.0,1.0,Western Metropolitan,13.473020249017498
6.0,h,2372500.0,5.9,3.0,2.0,Western Metropolitan,14.70134208235372
2.0,h,750000.0,5.9,1.0,1.0,Western Metropolitan,13.527828485512494
2.0,h,1053000.0,5.9,1.0,1.0,Western Metropolitan,13.867153791116113
3.0,h,1377000.0,5.9,1.0,1.0,Western Metropolitan,14.135417777710792
3.0,h,970000.0,5.9,1.0,2.0,Western Metropolitan,13.785051350479566
2.0,h,940000.0,5.9,1.0,1.0,Western Metropolitan,13.753635154246187
2.0,h,751000.0,5.9,1.0,1.0,Western Metropolitan,13.529160930746272
2.0,h,950000.0,5.9,1.0,1.0,Western Metropolitan,13.764217263576723
2.0,u,685000.0,5.9,1.0,2.0,Western Metropolitan,13.437174117244362
3.0,h,1230000.0,5.9,1.0,2.0,Western Metropolitan,14.0225247273486
2.0,h,636500.0,5.9,1.0,1.0,Western Metropolitan,13.363739696979598
3.0,h,910000.0,5.9,1.0,0.0,Western Metropolitan,13.721199878493033
2.0,h,770000.0,5.9,1.0,1.0,Western Metropolitan,13.554145793829866
3.0,h,960000.0,5.9,2.0,2.0,Western Metropolitan,13.77468856344402
4.0,h,890000.0,5.9,1.0,1.0,Western Metropolitan,13.698976741708323
2.0,h,965000.0,5.9,1.0,1.0,Western Metropolitan,13.779883380321124
3.0,h,1440000.0,5.9,1.0,1.0,Western Metropolitan,14.180153671552183
2.0,h,955000.0,5.9,1.0,0.0,Western Metropolitan,13.769466619462868
2.0,u,450000.0,5.9,1.0,1.0,Western Metropolitan,13.017002861746503
3.0,h,801000.0,5.9,1.0,2.0,Western Metropolitan,13.593616226050496
3.0,h,1000000.0,5.9,2.0,2.0,Western Metropolitan,13.815510557964274
3.0,h,1435000.0,5.9,2.0,2.0,Western Metropolitan,14.176675407175859
1.0,u,390000.0,5.9,1.0,1.0,Western Metropolitan,12.873902018105829
3.0,h,1425000.0,5.9,2.0,2.0,Western Metropolitan,14.169682371684887
4.0,h,1340000.0,5.9,2.0,2.0,Western Metropolitan,14.108180171927094
3.0,h,955000.0,5.9,1.0,1.0,Western Metropolitan,13.769466619462868
4.0,h,1100000.0,5.9,2.0,5.0,Western Metropolitan,13.9108207377686
3.0,h,1255000.0,5.9,2.0,2.0,Western Metropolitan,14.042646130548022
2.0,u,432000.0,5.9,1.0,1.0,Western Metropolitan,12.976180867226248
4.0,h,1640000.0,5.9,3.0,2.0,Western Metropolitan,14.310206799800381
6.0,h,1430000.0,5.9,2.0,1.0,Western Metropolitan,14.17318500223609
2.0,u,610000.0,5.9,1.0,1.0,Western Metropolitan,13.321214236149494
3.0,h,940000.0,5.9,3.0,1.0,Western Metropolitan,13.753635154246187
3.0,h,890000.0,5.9,1.0,1.0,Western Metropolitan,13.698976741708323
3.0,h,1180000.0,5.9,2.0,2.0,Western Metropolitan,13.981024996441848
4.0,h,1480000.0,5.9,2.0,2.0,Western Metropolitan,14.207552645740298
2.0,h,1150000.0,5.9,1.0,1.0,Western Metropolitan,13.955272500339433
3.0,h,1350000.0,5.9,1.0,3.0,Western Metropolitan,14.115615150414612
5.0,h,1905000.0,5.9,2.0,2.0,Western Metropolitan,14.459992566542939
2.0,t,865000.0,5.9,2.0,1.0,Western Metropolitan,13.670484785914017
2.0,t,705000.0,5.9,2.0,1.0,Western Metropolitan,13.465953081794405
2.0,u,442000.0,5.9,1.0,1.0,Western Metropolitan,12.999065161059836
2.0,u,540000.0,5.9,2.0,1.0,Western Metropolitan,13.199324418540456
3.0,h,1037500.0,5.9,1.0,2.0,Western Metropolitan,13.85232453108699
3.0,t,1050000.0,5.9,2.0,2.0,Western Metropolitan,13.864300722133706
2.0,u,440000.0,5.9,1.0,1.0,Western Metropolitan,12.994530005894443
2.0,h,1010000.0,5.9,1.0,1.0,Western Metropolitan,13.825460888817442
4.0,h,1430000.0,5.9,2.0,0.0,Western Metropolitan,14.17318500223609
